"date","academic_year","value","percent","series_label","subject","subject_sort","exam_type","exam_name","exam_sort","performance_standard","tests_passed","tests_taken","grades_included","grade_count","calculation_method","series_type","reporting_status","unit","direction","district_id","organization_name","source_file"
2000,"1999-2000",,,"Social Studies","Social Studies",5,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2001,"2000-2001",0.921,92.1,"Reading","Reading",1,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2001,"2000-2001",0.866,86.6,"Writing","Writing",2,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2001,"2000-2001",0.927,92.7,"Mathematics","Mathematics",3,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2001,"2000-2001",,,"Science","Science",4,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2001,"2000-2001",,,"Social Studies","Social Studies",5,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2002,"2001-2002",0.944,94.4,"Reading","Reading",1,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2002,"2001-2002",0.903,90.3,"Writing","Writing",2,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2002,"2001-2002",0.952,95.2,"Mathematics","Mathematics",3,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","reported","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
2002,"2001-2002",,,"Science","Science",4,"TAAS","Texas Assessment of Academic Skills",1,"Met standard or above (source-harmonized)",,,"District-reported tested grades",,"reported_district_subject_proportion","reported","not_available","proportion","higher_is_better","094902","Schertz-Cibolo-Universal City ISD","SCUC_Snapshots_1995_to_2023_LONG_CANONICAL.csv"
